"Search Query", "URL"
"dj telly tellz", "https://soundcloud.com/search?q=dj%20telly%20tellz"
"kmt", "https://soundcloud.com/search?q=kmt"
"eric bellinger", "https://soundcloud.com/search?q=eric%20bellinger"
"bachata", "https://soundcloud.com/search?q=bachata"
"wizkid", "https://soundcloud.com/search?q=wizkid"
"d rose", "https://soundcloud.com/search?q=d%20rose"
"deja vu", "https://soundcloud.com/search?q=deja%20vu"
"taylor swift", "https://soundcloud.com/search?q=taylor%20swift"
"lary over", "https://soundcloud.com/search?q=lary%20over"
"soy peor", "https://soundcloud.com/search?q=soy%20peor"
"goldlink", "https://soundcloud.com/search?q=goldlink"
"lil pete", "https://soundcloud.com/search?q=lil%20pete"
"armon and trey", "https://soundcloud.com/search?q=armon%20and%20trey"
"pnb rock horses", "https://soundcloud.com/search?q=pnb%20rock%20horses"
"selfish pnb rock", "https://soundcloud.com/search?q=selfish%20pnb%20rock"
"earl sweatshirt", "https://soundcloud.com/search?q=earl%20sweatshirt"
"freak hoe", "https://soundcloud.com/search?q=freak%20hoe"
"bad things", "https://soundcloud.com/search?q=bad%20things"
"lonely", "https://soundcloud.com/search?q=lonely"
"no effort", "https://soundcloud.com/search?q=no%20effort"
"paris", "https://soundcloud.com/search?q=paris"
"xo tour life lil uzi", "https://soundcloud.com/search?q=xo%20tour%20life%20lil%20uzi"
"one night", "https://soundcloud.com/search?q=one%20night"
"lil tracy", "https://soundcloud.com/search?q=lil%20tracy"
"moves", "https://soundcloud.com/search?q=moves"
"el alfa", "https://soundcloud.com/search?q=el%20alfa"
"lil yatchy", "https://soundcloud.com/search?q=lil%20yatchy"
"sydney renae", "https://soundcloud.com/search?q=sydney%20renae"
"the chainsmokers", "https://soundcloud.com/search?q=the%20chainsmokers"
"dej loaf jacquees", "https://soundcloud.com/search?q=dej%20loaf%20jacquees"
"pick up the phone", "https://soundcloud.com/search?q=pick%20up%20the%20phone"
"selfish future", "https://soundcloud.com/search?q=selfish%20future"
